Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-05-01,20:30,22:30,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL ÉLITE OUTAOUAIS,,,,,,,,,,,,,
2025-05-06,20:30,22:30,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL ÉLITE OUTAOUAIS,,,,,,,,,,,,,
2025-05-08,20:30,22:30,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL ÉLITE OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,08:00,10:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,10:00,12:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,12:00,14:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,14:00,16:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,16:00,18:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,18:00,20:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-10,20:00,22:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-12,18:15,20:15,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"18U/21UF A Mixte, 18U A Mixte, 18U/21UF AA Mixte, U18 Masculin",,
2025-05-12,20:30,22:30,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"18U/21UF A Mixte, 18U A Mixte, 18U/21UF AA Mixte, U18 Masculin",,
