Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-05-31,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-05-31,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-01,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-01,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-02,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-02,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-03,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-03,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-05,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-06,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-06,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-07,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-07,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-08,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-08,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-09,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-09,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-10,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-10,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-12,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-13,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-13,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-14,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-14,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-15,12:00,14:00,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,,,,
2025-06-15,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-15,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-16,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-16,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
