Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-05-19,08:15,10:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-19,10:15,12:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-19,12:15,14:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-19,14:15,16:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-19,16:15,18:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-19,18:15,20:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-19,20:15,22:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-20,08:15,10:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-20,10:15,12:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-20,12:15,14:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
