Date,Start Time,End Time,Field (Alias),Field,Venue,Event Type,Identifier,Organization,Secondary Organization,Schedule,Category,Home Team,Away Team,Practice Teams,Practice Type,Timeslot Type,Timeslot Sub Type,Timeslot Shared Leagues,Timeslot Category Restrictions,Comments,Notes
2025-05-03,09:00,11:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-03,11:00,13:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-03,13:00,15:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-03,15:00,17:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-05-04,18:30,20:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-05-05,18:30,20:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-05-06,18:30,20:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-05-07,18:30,20:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-05-08,18:30,20:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-05-09,18:30,20:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
