Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-05-04,08:30,17:00,,Terrain Thibault,Parc Thibault,Plage horaire,Camps d'évaluation,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-10,08:30,17:00,,Terrain Thibault,Parc Thibault,Plage horaire,Camps d'évaluation,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-11,08:30,17:00,,Terrain Thibault,Parc Thibault,Plage horaire,Camps d'évaluation,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-12,17:30,19:00,,Terrain Thibault,Parc Thibault,Plage horaire,"Lundis, mercredis et jeudis",ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,Pratiques,
2025-05-13,20:15,22:15,,Terrain Thibault,Parc Thibault,Plage horaire,"Mardis, vendredis",ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-14,18:30,20:30,,Terrain Thibault,Parc Thibault,Plage horaire,"Lundis, mercredis et jeudis",ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-15,17:30,19:00,,Terrain Thibault,Parc Thibault,Plage horaire,"Lundis, mercredis et jeudis",ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-16,20:15,22:15,,Terrain Thibault,Parc Thibault,Plage horaire,"Mardis, vendredis",ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-17,09:00,11:00,,Terrain Thibault,Parc Thibault,Plage horaire,Samedis,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-17,11:00,13:00,,Terrain Thibault,Parc Thibault,Plage horaire,Samedis,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-17,13:00,15:00,,Terrain Thibault,Parc Thibault,Plage horaire,Samedis,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-17,15:00,17:00,,Terrain Thibault,Parc Thibault,Plage horaire,Samedis,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-18,08:15,10:15,,Terrain Thibault,Parc Thibault,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-18,10:15,12:15,,Terrain Thibault,Parc Thibault,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-18,12:15,14:15,,Terrain Thibault,Parc Thibault,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-18,14:15,16:15,,Terrain Thibault,Parc Thibault,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-05-18,16:15,18:15,,Terrain Thibault,Parc Thibault,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
